model,n,mae,rmse,r2,spearman,n_total,parameter,task,coverage90,mean_interval_width
undirected,10040,0.2498341488331404,0.3372545437447237,0.5206373865228804,0.626943726749939,10040,pH,temporal,0.8643426294820717,0.9467602473317636
undirected,1053,1103.6829459049757,6267.865698419082,0.0325840728980736,0.643773052236745,1053,EC,spatial,0.9012345679012346,864.8950252380563
undirected,1159,254.32868721538608,800.5050474419135,0.1683442593472928,0.6806253933166403,1159,EC,spatial_temporal,0.9154443485763588,877.1404252865046
undirected,9844,212.33414747940276,1071.2943605644534,0.1252408311860486,0.7674467780688466,9844,EC,temporal,0.8740349451442503,605.5857994510029
no_decay,1683,1.4151595323330164,2.459745755906034,-0.1314854040720403,0.2463981478413964,1749,NO3N,spatial,0.9359634076615208,8.313626844248995
no_decay,1636,1.8383584275685088,3.0519259309507154,-0.307389083538897,0.2940220424349892,1697,NO3N,spatial_temporal,0.8880377136122569,7.7121987839495025
no_decay,12490,1.153347815347448,2.1872272785214983,0.2777165717533378,0.7653609746732611,13161,NO3N,temporal,0.97477395334701,14.687077761563124
no_decay,1243,0.0764868295130265,0.1611548623814532,-0.1231466493759396,-0.0916583852898378,1327,TP,spatial,0.9306706857573472,0.2947219972653075
no_decay,1680,0.0943454963096094,0.225776855022304,-0.0783914804068319,0.0532994900566789,1733,TP,spatial_temporal,0.9059434506635892,0.2617586341189045
no_decay,10883,0.1093312067757496,0.2825930921483353,0.1266541657362232,0.5272978153776939,12540,TP,temporal,0.949920255183413,0.3675859909474188
no_decay,1106,1.709274505112588,2.193114671503108,0.0885026540208878,0.4719535373914861,1106,O2-Dis,spatial,0.9276672694394212,7.652626602422864
no_decay,1270,1.6260611824593507,2.1344958703531187,0.1365080711639832,0.4191581814727111,1272,O2-Dis,spatial_temporal,0.9064465408805032,7.628445822844232
no_decay,9819,1.580902780368124,2.145596195112444,0.2203123111351307,0.5048057206482497,9824,O2-Dis,temporal,0.9441164495114006,10.622109223896604
no_decay,241,9.442798056527453,14.001797492223869,0.1041400929563416,-0.0742334674292185,276,TSS,spatial,0.8079710144927537,38.02435454598542
no_decay,256,7.970299703182145,13.080319125283438,-0.168555905330423,-0.2380664810178017,290,TSS,spatial_temporal,0.8482758620689655,38.68588409768186
no_decay,2611,17.739312855983286,50.75698278734725,-0.0513434475388063,0.484544367145712,4238,TSS,temporal,0.8975932043416706,35.45288837697161
no_decay,449,4.548426327919125,5.486997571105503,0.4058077106188912,0.7376235808421582,449,TEMP,spatial,0.8841870824053452,17.727684540354485
no_decay,495,4.598508178953651,5.561352925486597,0.31088889907482,0.6407956562268942,495,TEMP,spatial_temporal,0.8868686868686869,17.712611789324963
no_decay,7259,3.950356937000053,5.0388901389327945,0.3798759195833715,0.6665146926191721,7259,TEMP,temporal,0.9531615925058547,19.80498718698465
no_decay,1057,0.2515864760361098,0.3749045759830205,0.3934110695595193,0.6197031732481273,1057,pH,spatial,0.9063386944181646,1.084736433199034
no_decay,1136,0.2270355139282521,0.3140010343638806,0.4576695489323439,0.615280120758104,1136,pH,spatial_temporal,0.9278169014084507,1.1003438577356517
no_decay,10040,0.2491329958402506,0.3348277149903759,0.527511395638901,0.6235961442414771,10040,pH,temporal,0.8747011952191235,0.9715760614121144
no_decay,1053,1099.3616114389006,6241.995482704541,0.0405534872776534,0.6472717722679083,1053,EC,spatial,0.9088319088319088,997.7337998506111
no_decay,1159,250.62774910471876,784.7611420074082,0.2007356884944645,0.6725395418663187,1159,EC,spatial_temporal,0.9188955996548748,989.0234850275336
