seed,n,mae,rmse,r2,spearman,n_total,parameter,task,coverage90,mean_interval_width
44,1159,189.48252986805545,605.6179770144529,0.5239934193569233,0.8408208954873825,1159,EC,spatial_temporal,0.8964624676445211,586.3315717844665
44,9844,163.77410489335605,914.0296851565878,0.3632169905940268,0.8570817357370946,9844,EC,temporal,0.7985574969524584,376.4729107041996
45,1683,1.4606045228505575,2.3857721510154715,-0.0644528908697661,0.058409362932993,1749,NO3N,spatial,0.9010863350485993,7.66444403482124
45,1636,1.802539831841799,2.93512901839208,-0.2092365571295356,0.104062426186449,1697,NO3N,spatial_temporal,0.9074837949322332,7.417135959025069
45,12490,0.8345918192735213,1.7185508851716425,0.5540926663507457,0.8310451430611205,13161,NO3N,temporal,0.9316161385912924,6.1782985966168456
45,1243,0.0794876953366143,0.151666677717894,0.0052132644834519,0.3300092746390914,1327,TP,spatial,0.9532780708364732,0.3133439554269721
45,1680,0.0956412944812026,0.2136409681110848,0.0344235068879544,0.319455841110563,1733,TP,spatial_temporal,0.9290248124639354,0.3037041445764449
45,10883,0.0815917280942522,0.2528125057388781,0.3010271992139919,0.7182531525999062,12540,TP,temporal,0.8800637958532695,0.2152000790223194
45,1106,1.7420621112466452,2.226604608665681,0.0604520804193402,0.4326463078641022,1106,O2-Dis,spatial,0.9321880650994576,7.606224737570283
45,1270,1.73151661860896,2.224897177612085,0.0618170524774072,0.3017660601286722,1272,O2-Dis,spatial_temporal,0.9064465408805032,7.68167947524635
45,9819,1.3153894156396546,1.8589181232768095,0.4147448834093106,0.6777108265567342,9824,O2-Dis,temporal,0.9172434853420196,6.217601259237529
45,241,9.387563504365785,14.867748859564887,-0.0100966936696944,-0.0360767591288728,276,TSS,spatial,0.7717391304347826,36.93868160935179
45,256,7.297024787594193,12.379954713987772,-0.0467691794966618,0.0032840998674979,290,TSS,spatial_temporal,0.8827586206896552,37.64478829274535
45,2611,16.658874858402385,49.759221891870666,-0.0104159135773582,0.6120882194874459,4238,TSS,temporal,0.9169419537517696,33.96250107172701
45,449,3.451942780109148,4.20870429082077,0.650413783159149,0.8223322231336162,449,TEMP,spatial,0.9064587973273942,13.3963279253038
45,495,3.652066797822264,4.408914456877481,0.5668965149761169,0.7685933354927774,495,TEMP,spatial_temporal,0.8767676767676768,13.005345431988824
45,7259,2.930575509838374,3.794832454304592,0.6482824584367427,0.8053744849904345,7259,TEMP,temporal,0.8884143821463012,11.503189640114192
45,1057,0.2203503033834329,0.3475596031403583,0.478671361105061,0.6900791627550765,1057,pH,spatial,0.89120151371807,0.9326306581403092
45,1136,0.1958910087285913,0.2791609476191409,0.5713417758000665,0.6609789353806388,1136,pH,spatial_temporal,0.9163732394366196,0.9398247268754684
45,10040,0.215641986730839,0.3041256488249347,0.6101885089170014,0.7195500338142572,10040,pH,temporal,0.8560756972111554,0.7990943393812021
45,1053,937.4944288587571,5616.432595530824,0.2232254806334925,0.824708067197973,1053,EC,spatial,0.8755935422602089,834.0315068933928
45,1159,193.92958420567444,624.8404789202532,0.4932966756504723,0.8441457746220709,1159,EC,spatial_temporal,0.8886971527178602,582.0234766968431
45,9844,164.81707741613457,915.2669301083472,0.3614919048466551,0.8663244157497535,9844,EC,temporal,0.8090207232832182,403.6449807544381
46,1683,1.4438046597411252,2.4021797997280565,-0.079144340445008,0.1148828801197573,1749,NO3N,spatial,0.934819897084048,8.25307385862792
46,1636,1.8128765132804308,2.9753091669485525,-0.2425706079784968,0.1464902611614412,1697,NO3N,spatial_temporal,0.8974661166764879,7.657988485313006
46,12490,0.8348649031275913,1.7034923641151445,0.5618728103995847,0.8302293134972526,13161,NO3N,temporal,0.9367829192310616,6.748296306192784
46,1243,0.0791922548126678,0.1527862940486207,-0.0095281473937072,0.3415572030468015,1327,TP,spatial,0.9638281838733986,0.3329808509874898
46,1680,0.0987243355628271,0.2144392196925969,0.0271944352933964,0.2531814362051696,1733,TP,spatial_temporal,0.93133294864397,0.3215860476114834
46,10883,0.0860655417938616,0.2561603039655533,0.2823927299853732,0.682502972980138,12540,TP,temporal,0.8648325358851675,0.2224302094181787
46,1106,1.857835651148825,2.3644577471289523,-0.059487514397009,0.3790165565515463,1106,O2-Dis,spatial,0.9258589511754068,7.792583227399101
46,1270,1.8225688130396325,2.3091210700693896,-0.0105575542914295,0.2774460404178233,1272,O2-Dis,spatial_temporal,0.8930817610062893,7.76222715718736
46,9819,1.3166700100992974,1.8556963416249448,0.4167717937837606,0.6861367986409697,9824,O2-Dis,temporal,0.9266083061889252,6.292038680264125
46,241,7.967789392494437,14.458363254998416,0.044763782686767,0.3362667423043264,276,TSS,spatial,0.8659420289855072,24.99560803002128
46,256,5.969383751935358,12.467998808732846,-0.0617110054557017,0.1608225350382693,290,TSS,spatial_temporal,0.906896551724138,23.109701154335017
46,2611,16.87309593011396,50.14689230862162,-0.0262213956077665,0.591037734496063,4238,TSS,temporal,0.9275601698914584,39.22328894674523
46,449,3.4370988325865666,4.220180074490717,0.6485047655934766,0.8239895076279629,449,TEMP,spatial,0.8841870824053452,12.59605017232491
46,495,3.507810293089207,4.3111604960094345,0.5858890490644477,0.7942809047590738,495,TEMP,spatial_temporal,0.8626262626262626,12.353240072907155
